iter	Logloss
0	0.6896215081
1	0.6868243665
2	0.6838854859
3	0.6812138789
4	0.6788354478
5	0.6772540667
6	0.6759965699
7	0.6741774589
8	0.6730310751
9	0.6720032941
10	0.6712502033
11	0.6701046901
12	0.6695167695
13	0.6689433748
14	0.6677968735
15	0.6672489109
16	0.666676215
17	0.6656083721
18	0.664766853
19	0.6645162779
20	0.6639889321
21	0.6632560075
22	0.6626174548
23	0.6623221716
24	0.661962961
25	0.6613524559
26	0.6606521274
27	0.6599598374
28	0.6595053955
29	0.658959574
30	0.6585348557
31	0.658227441
32	0.6578529567
33	0.6573184359
34	0.656915613
35	0.6566158158
36	0.6563760151
37	0.6561923268
38	0.6554892949
39	0.6549706189
40	0.6546350753
41	0.654305814
42	0.6540868348
43	0.6538421196
44	0.6534156891
45	0.6532170693
46	0.6528829891
47	0.652604711
48	0.6522861998
49	0.651964262
50	0.651593357
51	0.6510637549
52	0.650881962
53	0.6505107006
54	0.650211282
55	0.6498948294
56	0.6497195187
57	0.6494436398
58	0.6491357451
59	0.6487555411
60	0.6482786986
61	0.6481617618
62	0.6478588868
63	0.6476387326
64	0.6474089334
65	0.646951532
66	0.6467959572
67	0.6463939527
68	0.6460464415
69	0.6456631977
70	0.6454465534
71	0.6449351741
72	0.6448231475
73	0.6445255639
74	0.6440522429
75	0.6437937057
76	0.6434444752
77	0.6432200954
78	0.6430368483
79	0.6428786427
80	0.6427054817
81	0.6424187585
82	0.6421300277
83	0.6419022261
84	0.6416054161
85	0.6412540668
86	0.6410280735
87	0.6407568502
88	0.6405586265
89	0.6403053748
90	0.6397997806
91	0.6394755252
92	0.6392437523
93	0.6389934843
94	0.6386758041
95	0.6383666341
96	0.6379204818
97	0.6375909555
98	0.6372474451
99	0.6368619768
100	0.6366065953
101	0.6363749919
102	0.6358885589
103	0.6355179781
104	0.6351983727
105	0.6348343761
106	0.6343616142
107	0.634022904
108	0.6337704175
109	0.6334921045
110	0.633138707
111	0.6327055195
112	0.6322208038
113	0.6319740297
114	0.6315215571
115	0.6311075524
116	0.6306873865
117	0.6303202309
118	0.6300571321
119	0.6297178271
120	0.6292610022
121	0.6290202849
122	0.6287041015
123	0.628356503
124	0.6280472778
125	0.6277077898
126	0.6274913233
127	0.6271735776
128	0.6269730007
129	0.6266633722
130	0.6263618503
131	0.6261072801
132	0.6259327676
133	0.625690678
134	0.6253141848
135	0.6250123876
136	0.624644992
137	0.6244155681
138	0.6239995728
139	0.623680984
140	0.6233742944
141	0.6230994292
142	0.6227466945
143	0.6223902794
144	0.622216072
145	0.621976576
146	0.6216477798
147	0.6213326074
148	0.6210655582
149	0.6207951407
150	0.6203928055
151	0.6201047551
152	0.6197121779
153	0.6193817548
154	0.6189088852
155	0.6185843171
156	0.6182531259
157	0.6179445822
158	0.6174334502
159	0.6171872356
160	0.6168570742
161	0.6166298172
162	0.6164357171
163	0.6161489074
164	0.6158770928
165	0.615638038
166	0.6154221439
167	0.6152162679
168	0.6150686281
169	0.6146648737
170	0.6143394369
171	0.6140741117
172	0.6136647404
173	0.6135269198
174	0.6134167587
175	0.6128068049
176	0.6126061258
177	0.6123998922
178	0.612134042
179	0.611888727
180	0.6116937111
181	0.6112218226
182	0.610975457
183	0.6106914059
184	0.6103833334
185	0.6100124092
186	0.6097857881
187	0.6096333502
188	0.6095021934
189	0.6091851102
190	0.6089663413
191	0.6088137587
192	0.6084787944
193	0.6081995428
194	0.6079625559
195	0.6076685575
196	0.6074814114
197	0.6071339548
198	0.607018837
199	0.606868639
